Nro,data name,data id,version,nFeatures,nInstances,nClasses,nMajClass,nMinClass,nMicClass/nMajClass,training,testing,runtime
1,kr-vs-kp,3,1,37,3196,2,1669,1527,0.91,1.67268,0.08681,1.75949
2,letter,6,1,17,20000,26,813,734,0.90,83.25591,4.57045,87.82636
3,balance-scale,11,1,5,625,3,288,49,0.17,0.07526,0.00454,0.0798
4,mfeat-factors,12,1,217,2000,10,200,200,1.00,4.60679,0.28475,4.89154
5,breast-cancer,13,1,10,286,2,201,85,0.42,0.06813,0.00825,0.07638
6,mfeat-fourier,14,1,77,2000,10,200,200,1.00,2.80181,0.14802,2.94983
7,breast-w,15,1,10,699,2,458,241,0.53,0.04673,0.04295,0.08968
8,mfeat-karhunen,16,1,65,2000,10,200,200,1.00,2.22034,0.10636,2.3267
9,mfeat-morphological,18,1,7,2000,10,200,200,1.00,0.46654,0.02407,0.49061
10,mfeat-pixel,20,1,241,2000,10,200,200,1.00,19.48012,1.13884,20.61896
11,car,21,1,7,1728,4,1210,65,0.05,0.40434,0.04691,0.45125
12,mfeat-zernike,22,1,48,2000,10,200,200,1.00,1.54337,0.1143,1.65767
13,cmc,23,1,10,1473,3,629,333,0.53,0.43337,0.04964,0.48301
14,mushroom,24,1,23,8124,2,4208,3916,0.93,2.53276,0.08245,2.61521
15,colic,25,1,28,368,2,232,136,0.59,0.56994,0.09385,0.66379
16,optdigits,28,1,65,5620,10,572,554,0.97,5.3739,0.26929,5.64319
17,credit-a,29,1,16,690,2,383,307,0.80,0.19797,0.01354,0.21151
18,page-blocks,30,1,11,5473,5,4913,28,0.01,0.84823,0.0293,0.87753
19,credit-g,31,1,21,1000,2,700,300,0.43,0.37554,0.01946,0.395
20,pendigits,32,1,17,10992,10,1144,1055,0.92,3.39877,0.28763,3.6864
21,dermatology,35,1,35,366,6,112,20,0.18,0.20581,0.02352,0.22933
22,segment,36,1,20,2310,7,330,330,1.00,0.5295,0.05482,0.58432
23,diabetes,37,1,9,768,2,500,268,0.54,0.11791,0.00717,0.12508
24,sick,38,1,30,3772,2,3541,231,0.07,0.52365,0.0668,0.59045
25,sonar,40,1,61,208,2,111,97,0.87,0.15586,0.0339,0.18976
26,haberman,43,1,4,306,2,225,81,0.36,0.03529,0.00532,0.04061
27,spambase,44,1,58,4601,2,2788,1813,0.65,3.23437,0.11917,3.35354
28,splice,46,1,62,3190,3,1655,767,0.46,12.46356,1.03341,13.49697
