Dataset,Algorithm,CorrelationThreshold,TrueLabel,PredictedLabel,Prob_Defaults,Prob_Tuning
Baseline,SVM,0.8,Tuning,Tuning,0.18889294906125323,0.8111070509387469
Baseline,SVM,0.8,Tuning,Tuning,0.24477971963348105,0.755220280366519
Baseline,SVM,0.8,Defaults,Tuning,0.4218889762672761,0.578111023732724
Baseline,SVM,0.8,Tuning,Tuning,0.11251089541830216,0.8874891045816977
Baseline,SVM,0.8,Tuning,Tuning,0.13819945889461138,0.8618005411053888
Baseline,SVM,0.8,Tuning,Defaults,0.5256945969582307,0.47430540304176944
Baseline,SVM,0.8,Tuning,Tuning,0.11613647477859357,0.8838635252214063
Baseline,SVM,0.8,Defaults,Tuning,0.1886067605820985,0.8113932394179016
Baseline,SVM,0.8,Defaults,Tuning,0.1476001197703737,0.8523998802296262
Baseline,SVM,0.8,Tuning,Tuning,0.20866803156089384,0.791331968439106
Baseline,SVM,0.8,Tuning,Tuning,0.1338827728170748,0.866117227182925
Baseline,SVM,0.8,Defaults,Tuning,0.35869900375859165,0.6413009962414083
Baseline,SVM,0.8,Tuning,Tuning,0.1459327733923634,0.8540672266076367
Baseline,SVM,0.8,Tuning,Tuning,0.17819150424712976,0.8218084957528703
Baseline,SVM,0.8,Tuning,Tuning,0.16154278159735036,0.8384572184026493
Baseline,SVM,0.8,Tuning,Tuning,0.13991125880102318,0.8600887411989768
Baseline,SVM,0.8,Defaults,Defaults,0.6444384950654937,0.3555615049345064
Baseline,SVM,0.8,Tuning,Tuning,0.13526929123766382,0.864730708762336
Baseline,SVM,0.8,Defaults,Tuning,0.19736242243037114,0.8026375775696288
Baseline,SVM,0.8,Tuning,Tuning,0.3325501149205052,0.667449885079495
Baseline,SVM,0.8,Tuning,Tuning,0.36593283549379624,0.6340671645062038
Baseline,SVM,0.8,Defaults,Tuning,0.27712729240222816,0.7228727075977719
Baseline,SVM,0.8,Tuning,Tuning,0.08772856188530193,0.9122714381146979
Baseline,SVM,0.8,Tuning,Tuning,0.2604508624233318,0.7395491375766682
Baseline,SVM,0.8,Tuning,Tuning,0.17751346212140998,0.8224865378785902
Baseline,SVM,0.8,Tuning,Tuning,0.12425946202363294,0.875740537976367
Baseline,SVM,0.8,Tuning,Tuning,0.1562196276954287,0.8437803723045713
Baseline,SVM,0.8,Tuning,Tuning,0.15762201435764944,0.8423779856423509
Baseline,SVM,0.8,Tuning,Tuning,0.14691207330570624,0.8530879266942937
Baseline,SVM,0.8,Tuning,Tuning,0.13029985205420838,0.8697001479457918
Baseline,SVM,0.8,Tuning,Tuning,0.14208340240909229,0.8579165975909078
Baseline,SVM,0.8,Tuning,Tuning,0.15252269238296629,0.8474773076170335
Baseline,SVM,0.8,Defaults,Defaults,0.8540045697553936,0.14599543024460634
Baseline,SVM,0.8,Defaults,Tuning,0.20197835667871966,0.7980216433212804
Baseline,SVM,0.8,Tuning,Tuning,0.15728149386408244,0.8427185061359175
Baseline,SVM,0.8,Tuning,Tuning,0.25401093297613586,0.7459890670238642
Baseline,SVM,0.8,Tuning,Tuning,0.34825184632615686,0.651748153673843
Baseline,SVM,0.8,Defaults,Tuning,0.24484480625449803,0.7551551937455019
Baseline,SVM,0.8,Tuning,Tuning,0.2196672486518761,0.780332751348124
Baseline,SVM,0.8,Defaults,Tuning,0.41912430615920626,0.5808756938407936
Baseline,SVM,0.8,Tuning,Tuning,0.20111568563449148,0.7988843143655089
Baseline,SVM,0.8,Tuning,Tuning,0.18552768810215986,0.8144723118978403
Baseline,SVM,0.8,Tuning,Tuning,0.2853268054579275,0.7146731945420725
Baseline,SVM,0.8,Tuning,Tuning,0.2243973315793758,0.7756026684206244
Baseline,SVM,0.8,Tuning,Tuning,0.18101492391864105,0.818985076081359
Baseline,SVM,0.8,Tuning,Tuning,0.30216477845017903,0.6978352215498209
Baseline,SVM,0.8,Tuning,Tuning,0.17836045063429987,0.8216395493657002
Baseline,SVM,0.8,Tuning,Tuning,0.10405908907280148,0.8959409109271983
Baseline,SVM,0.8,Tuning,Tuning,0.2617684817294952,0.738231518270505
Baseline,SVM,0.8,Tuning,Tuning,0.11447302504394803,0.8855269749560518
Baseline,SVM,0.8,Defaults,Tuning,0.22139337465880365,0.7786066253411966
Baseline,SVM,0.8,Tuning,Tuning,0.16441461156610887,0.8355853884338912
Baseline,SVM,0.8,Tuning,Tuning,0.1521745798364866,0.8478254201635133
Baseline,SVM,0.8,Defaults,Tuning,0.20486147434661173,0.7951385256533885
Baseline,SVM,0.8,Tuning,Defaults,0.7503805486849908,0.2496194513150092
Baseline,SVM,0.8,Tuning,Tuning,0.19996416598428404,0.800035834015716
Baseline,SVM,0.8,Tuning,Tuning,0.2367088400717586,0.7632911599282414
Baseline,SVM,0.8,Tuning,Tuning,0.3779692319638695,0.6220307680361306
Baseline,SVM,0.8,Tuning,Tuning,0.22844060759162554,0.7715593924083745
Baseline,SVM,0.8,Tuning,Tuning,0.16383490014043706,0.836165099859563
Baseline,SVM,0.8,Tuning,Tuning,0.1252938203839653,0.8747061796160346
Baseline,SVM,0.8,Tuning,Tuning,0.18484979302545942,0.8151502069745404
Baseline,SVM,0.8,Tuning,Tuning,0.2411476408863081,0.7588523591136918
Baseline,SVM,0.8,Defaults,Defaults,0.5925363753822266,0.40746362461777347
