Dataset,Algorithm,CorrelationThreshold,TrueLabel,PredictedLabel,Prob_Defaults,Prob_Tuning
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.17694477885600096,0.8230552211439989
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.23989698523063285,0.7601030147693671
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.43644093337851825,0.5635590666214816
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.19973362477809994,0.8002663752218999
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.1879234590306736,0.8120765409693264
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.4230216585625674,0.5769783414374325
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.0738048230213522,0.926195176978648
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.1630178352703222,0.8369821647296778
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.12866010118333537,0.8713398988166647
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2308662099679184,0.7691337900320819
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2371935306293755,0.7628064693706244
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.2862890587351136,0.7137109412648865
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.19048325431069005,0.80951674568931
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.19390730952809584,0.8060926904719042
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.03328647166677646,0.9667135283332235
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.23807025509219795,0.761929744907802
Baseline,SVM_Linear,0.8,Defaults,Defaults,0.5641732774974854,0.43582672250251464
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.24784177139029115,0.7521582286097089
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.36217527530040006,0.6378247246995999
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.312705869920796,0.6872941300792043
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.27784109487536307,0.7221589051246369
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.2783277984433406,0.7216722015566593
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.10814373992617266,0.8918562600738272
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2960572168178099,0.7039427831821902
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.27997550226336987,0.7200244977366301
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.23779132286679097,0.7622086771332092
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2479919762455975,0.7520080237544028
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2718469846978432,0.7281530153021568
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.28275654181307935,0.7172434581869207
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2211821856496092,0.7788178143503909
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.16392741716401055,0.8360725828359893
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.225046911135183,0.774953088864817
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.383741117984161,0.616258882015839
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.23658177389473103,0.7634182261052689
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.15500175365319016,0.8449982463468098
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.4613510610889737,0.5386489389110263
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.1999396113583421,0.800060388641658
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.33462809057386855,0.6653719094261314
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.24454726030718807,0.7554527396928119
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.48528673734819594,0.5147132626518042
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.309358801792864,0.6906411982071359
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.01564870135099273,0.9843512986490072
Baseline,SVM_Linear,0.8,Tuning,Defaults,0.7239536850082179,0.2760463149917821
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.27880806430063754,0.7211919356993625
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.18092705799252437,0.8190729420074755
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.33781170467656346,0.6621882953234365
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.3654722869922725,0.6345277130077275
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.16382201263255486,0.8361779873674452
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2844326515840869,0.7155673484159131
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.1485605540963318,0.8514394459036682
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.3389600629868237,0.6610399370131764
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2067278097691754,0.7932721902308247
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2209055116356823,0.7790944883643177
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.28442770541428836,0.7155722945857118
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.3674653352023451,0.6325346647976549
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.3655925061936125,0.6344074938063877
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.29938057985796285,0.7006194201420372
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.40026150603005367,0.5997384939699464
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.3522497536810515,0.6477502463189486
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2761814504504337,0.7238185495495665
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.08490087743938765,0.9150991225606121
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.21760037350008493,0.7823996264999152
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.25549067358993205,0.7445093264100677
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.479562071931186,0.520437928068814
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.3174481725503015,0.6825518274496986
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.3675698181847494,0.6324301818152507
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2407361585768909,0.7592638414231091
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.313759643423562,0.6862403565764378
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.3102599822109307,0.6897400177890691
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.08789358439198021,0.9121064156080197
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.31317363386111063,0.6868263661388896
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.03957643948033536,0.9604235605196646
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.25081754312148685,0.7491824568785128
Baseline,SVM_Linear,0.8,Defaults,Defaults,0.5,0.5
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.4274945693728452,0.572505430627155
Baseline,SVM_Linear,0.8,Defaults,Defaults,0.5203038428685025,0.47969615713149755
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.4939348506802259,0.5060651493197742
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2788744215268653,0.7211255784731347
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.2817005019870825,0.7182994980129176
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.26441601250777613,0.7355839874922243
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.31254123262244377,0.6874587673775562
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.3863258296200304,0.6136741703799694
Baseline,SVM_Linear,0.8,Defaults,Tuning,0.3422486674263306,0.6577513325736694
Baseline,SVM_Linear,0.8,Defaults,Defaults,0.5228375076353206,0.47716249236467945
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.40480389728824817,0.5951961027117517
Baseline,SVM_Linear,0.8,Tuning,Defaults,0.538585361038226,0.461414638961774
Baseline,SVM_Linear,0.8,Defaults,Defaults,0.5,0.5
Baseline,SVM_Linear,0.8,Tuning,Tuning,0.1545730967062807,0.8454269032937192
