pair,DecisionTree_0.8,DecisionTree_0.85,DecisionTree_0.9,DecisionTree_0.95,KNN_0.95,LogisticRegression_0.8,LogisticRegression_0.95,NaiveBayes_0.8,NaiveBayes_0.85,NaiveBayes_0.95,RandomForest_0.8,RandomForest_0.85,RandomForest_0.9,RandomForest_0.95,SVM_Linear_0.8,SVM_Linear_0.85,SVM_Linear_0.9,SVM_Linear_0.95,SVM_RBF_0.8,SVM_RBF_0.85,SVM_RBF_0.9,SVM_RBF_0.95,XGBoost_0.85,XGBoost_0.9
DecisionTree_0.8,1.0,1.0,0.9999999999886501,0.9999999998902368,0.9999993725917081,0.0021427525323691743,0.06164052782273677,1.0,0.9999999999361836,0.99989009450715,0.3667400337686232,0.22570755826818667,0.024478969440457132,0.4136475914674992,0.006336011158627142,0.9774970165711999,0.10533984021331999,0.03833107229568011,1.1603629590517528e-07,1.0119786580942147e-05,8.464318842715812e-06,0.00011042150984597043,0.00022754094789667612,0.3667400337686232
DecisionTree_0.85,1.0,1.0,1.0,0.9999999999999998,0.9999281711939692,0.0005758814061569417,0.023105829409405643,0.9999999999938405,0.9999998337841844,0.997451515565893,0.19303177470894817,0.10533984021331999,0.008201674138529902,0.22570755826818623,0.0018606332132896641,0.9008148010689611,0.042716097130214736,0.01352200874224907,1.809348648684761e-08,1.9534416064725946e-06,1.6188175473441646e-06,2.433596698747653e-05,5.240690864605213e-05,0.19303177470894817
DecisionTree_0.9,0.9999999999886501,1.0,1.0,1.0,0.9981035670154366,0.00014086577965866098,0.007693033569170615,0.9999999612420377,0.9999709329493238,0.9774970165711999,0.08720071118316053,0.042716097130214736,0.002464605895445393,0.10533984021331999,0.0004947254089816555,0.7364089069460331,0.015269587025175113,0.004259986678471384,2.603511850551854e-09,3.471588257975e-07,2.8508473359778463e-07,4.922093007619921e-06,1.1060921435657178e-05,0.08720071118316053
DecisionTree_0.95,0.9999999998902368,0.9999999999999998,1.0,1.0,0.9966153326938474,0.00010175699342462874,0.005935197634270972,0.9999998337841844,0.9999281711939692,0.9670256929270167,0.07169837901644216,0.03434340216133791,0.0018606332132896641,0.08720071118316042,0.0003638530065626089,0.6895995047421184,0.01195775957501033,0.0032484385987169295,1.6739163388734823e-09,2.3387504155536476e-07,1.9167191989133414e-07,3.41150951110869e-06,7.738075274321687e-06,0.07169837901644216
KNN_0.95,0.9999993725917081,0.9999281711939692,0.9981035670154366,0.9966153326938474,1.0,0.0830883167777986,0.5898648563166867,0.9999999991704112,0.9999999999999998,1.0,0.9639030670785945,0.8940379209118845,0.3782377566978904,0.9751647534134757,0.1708181395036492,0.9999998830308705,0.7249685533892083,0.475173167416737,3.4313882500858206e-05,0.001397805081374548,0.0012093479265543605,0.009312681615457286,0.0162177808534405,0.9639030670785945
LogisticRegression_0.8,0.0021427525323691743,0.0005758814061569417,0.00014086577965866098,0.00010175699342462874,0.0830883167777986,1.0,0.9999999183606503,0.006761665539185002,0.025924193759970793,0.20087164785019018,0.9977982871970533,0.9997984435062783,0.9999999999634894,0.9961160320461685,1.0,0.6026049767490071,0.9999971792341301,0.9999999978932976,0.9834745883873455,0.9999962617865252,0.999993549750462,0.9999999999361836,0.9999999999997903,0.9977982871970533
LogisticRegression_0.95,0.06164052782273677,0.023105829409405643,0.007693033569170615,0.005935197634270972,0.5898648563166867,0.9999999183606503,1.0,0.13804818480431036,0.32247607274160073,0.8200783022857162,0.9999999994891995,0.9999999999999009,1.0,0.9999999967025761,0.9999999999361836,0.9905599280537899,1.0,1.0,0.5386751542747371,0.9639030670785945,0.9569931413273315,0.9988103931265739,0.9997552677987163,0.9999999994891995
NaiveBayes_0.8,1.0,0.9999999999938405,0.9999999612420377,0.9999998337841844,0.9999999991704112,0.006761665539185002,0.13804818480431036,1.0,0.9999999999999998,0.9999984233400064,0.5770881067744593,0.4016999034423603,0.06164052782273677,0.6279199262882162,0.018275024920620386,0.9970587913588849,0.21720933187614166,0.091477960884219,6.231178006910199e-07,4.4276196840553617e-05,3.7366818844808414e-05,0.000424516148303522,0.0008376114690292757,0.5770881067744593
NaiveBayes_0.85,0.9999999999361836,0.9999998337841844,0.9999709329493238,0.9999281711939692,0.9999999999999998,0.025924193759970793,0.32247607274160073,0.9999999999999998,1.0,0.9999999996896695,0.8294204420256015,0.6775017888841146,0.17081813950364955,0.8640225926730479,0.06164052782273677,0.9999423136118537,0.4502462567794856,0.23442501785313818,4.922093007619921e-06,0.0002663826573678918,0.00022754094789667612,0.0021427525323691743,0.0039827444084870045,0.8294204420256015
NaiveBayes_0.95,0.99989009450715,0.997451515565893,0.9774970165711999,0.9670256929270167,1.0,0.20087164785019018,0.8200783022857162,0.9999984233400064,0.9999999996896695,1.0,0.9961160320461685,0.979653537903612,0.6279199262882169,0.9977982871970533,0.3554081828205835,0.9999999999886501,0.907302063510479,0.7249685533892083,0.00017925726843814882,0.005557917169607185,0.004869016184901209,0.030723890733912684,0.05010541066941909,0.9961160320461685
RandomForest_0.8,0.3667400337686232,0.19303177470894817,0.08720071118316053,0.07169837901644216,0.9639030670785945,0.9977982871970533,0.9999999994891995,0.5770881067744593,0.8294204420256015,0.9961160320461685,1.0,1.0,0.9999995448493956,1.0,0.9998649175230202,0.9999971792341301,0.9999999999991317,0.9999999736527296,0.12082997377831561,0.5898648563166867,0.5642884979070087,0.8869702677211154,0.9402983579653688,1.0
RandomForest_0.85,0.22570755826818667,0.10533984021331999,0.042716097130214736,0.03434340216133791,0.8940379209118845,0.9997984435062783,0.9999999999999009,0.4016999034423603,0.6775017888841146,0.979653537903612,1.0,1.0,0.9999999978932976,1.0,0.9999950753197334,0.9999109570109223,1.0,0.9999999999634894,0.217209331876141,0.7586956527534814,0.7364089069460327,0.9605615863439372,0.9834745883873456,1.0
RandomForest_0.9,0.024478969440457132,0.008201674138529902,0.002464605895445393,0.0018606332132896641,0.3782377566978904,0.9999999999634894,1.0,0.06164052782273677,0.17081813950364955,0.6279199262882169,0.9999995448493956,0.9999999978932976,1.0,0.9999984233400064,0.9999999999999998,0.9491443733304495,0.9999999999999545,1.0,0.7476549648536147,0.9942270836797584,0.9925802340276922,0.9999538810386562,0.9999950753197334,0.9999995448493956
RandomForest_0.95,0.4136475914674992,0.22570755826818623,0.10533984021331999,0.08720071118316042,0.9751647534134757,0.9961160320461685,0.9999999967025761,0.6279199262882162,0.8640225926730479,0.9977982871970533,1.0,1.0,0.9999984233400064,1.0,0.9997039958299324,0.9999991412089194,0.9999999999886501,0.9999998830308705,0.10054348717582107,0.5386751542747376,0.5131319063007127,0.8557956839544211,0.9194160323296691,1.0
SVM_Linear_0.8,0.006336011158627142,0.0018606332132896641,0.0004947254089816555,0.0003638530065626089,0.1708181395036492,1.0,0.9999999999361836,0.018275024920620386,0.06164052782273677,0.3554081828205835,0.9998649175230202,0.9999950753197334,0.9999999999999998,0.9997039958299324,1.0,0.7904829242763689,0.9999999881676521,0.9999999999997903,0.9304034230840524,0.9998346597532032,0.9997552677987163,0.9999999183606503,0.9999999978932976,0.9998649175230202
SVM_Linear_0.85,0.9774970165711999,0.9008148010689611,0.7364089069460331,0.6895995047421184,0.9999998830308705,0.6026049767490071,0.9905599280537899,0.9970587913588849,0.9999423136118537,0.9999999999886501,0.9999971792341301,0.9999109570109223,0.9491443733304495,0.9999991412089194,0.7904829242763689,1.0,0.9977982871970533,0.9751647534134757,0.0026420013205341597,0.04752885044740318,0.042716097130214625,0.17800625860858565,0.2525141478134867,0.9999971792341301
SVM_Linear_0.9,0.10533984021331999,0.042716097130214736,0.015269587025175113,0.01195775957501033,0.7249685533892083,0.9999971792341301,1.0,0.21720933187614166,0.4502462567794856,0.907302063510479,0.9999999999991317,1.0,0.9999999999999545,0.9999999999886501,0.9999999881676521,0.9977982871970533,1.0,1.0,0.40169990344235984,0.9135016033565483,0.9008148010689606,0.9942270836797584,0.9983715010933901,0.9999999999991317
