pair,DecisionTree_0.8,DecisionTree_0.85,DecisionTree_0.9,DecisionTree_0.95,KNN_0.85,KNN_0.9,KNN_0.95,LogisticRegression_0.8,LogisticRegression_0.95,NaiveBayes_0.85,NaiveBayes_0.9,NaiveBayes_0.95,RandomForest_0.8,RandomForest_0.85,RandomForest_0.9,RandomForest_0.95,SVM_Linear_0.8,SVM_Linear_0.85,SVM_Linear_0.9,SVM_Linear_0.95,SVM_RBF_0.8,SVM_RBF_0.85,SVM_RBF_0.9,SVM_RBF_0.95,XGBoost_0.8,XGBoost_0.9,XGBoost_0.95
DecisionTree_0.8,1.0,1.0,0.9999999999999788,1.0,0.9999998615497596,0.9999999999761154,1.0,0.004775370774816934,1.3491081828798102e-05,0.9999755156985765,0.9991065742317694,0.9890184261136048,0.038182707983156705,0.24009217211301315,0.18101671691108434,0.02299555554125232,9.814009543140934e-06,0.00449709422399025,0.0009240006934386757,0.007217000921284522,0.12291942427113745,0.3700771551837786,0.7067315521041703,0.04210383954849173,8.125818389270734e-07,9.71750508949043e-08,1.2546307104344123e-08
DecisionTree_0.85,1.0,1.0,1.0,1.0,0.999944072666194,0.9999997453093072,0.999999999936766,0.0010546011862696547,1.9026781515885105e-06,0.9984086367891628,0.9836193833209935,0.9193065639939728,0.010765450022547585,0.0957706217535631,0.06734852026942018,0.006055887411467786,1.3571205617068927e-06,0.000987260684622071,0.00017589671801920836,0.0016625250124673308,0.04210383954849173,0.16803041056887658,0.43447729773736965,0.012038918394938758,9.71750508949043e-08,1.0366685732066117e-08,1.2063989807131748e-09
DecisionTree_0.9,0.9999999999999788,1.0,1.0,1.0,0.9995195137477205,0.9999936950148558,0.99999999064313,0.0004704044633732085,6.837815877958064e-07,0.9928634777975169,0.9540626252643167,0.839510885820345,0.005380458602599614,0.056027818000501384,0.038182707983156705,0.002932862476101583,4.830279698442297e-07,0.0004391341400544757,7.311307301915981e-05,0.0007564460835017828,0.02299555554125221,0.1042251092061317,0.3104788790573483,0.006055887411467786,3.219336908166781e-08,3.245013480146497e-09,3.58582941117902e-10
DecisionTree_0.95,1.0,1.0,1.0,1.0,0.9999936950148558,0.99999999064313,0.9999999999997136,0.002013297646191514,4.365718277221653e-06,0.9996535952852489,0.994317242181471,0.9606801533273356,0.018618582409802742,0.14413796570611526,0.1042251092061317,0.010765450022547585,3.1393661463763323e-06,0.0018893008221773089,0.0003567612786928853,0.003119913127000107,0.06734852026942018,0.24009217211301315,0.5484726575144252,0.020703692442283206,2.38733078194997e-07,2.670550947048156e-08,3.245013480146497e-09
KNN_0.85,0.9999998615497596,0.999944072666194,0.9995195137477205,0.9999936950148558,1.0,1.0,0.9999999999970661,0.15574185478632718,0.002013297646191514,1.0,0.9999999999997136,0.9999999955585157,0.5022698667685026,0.9193065639939728,0.869899681402973,0.3910710469811205,0.0015589882716071646,0.149855248460257,0.051003058371835386,0.2018258499331712,0.7872040657675163,0.9717338942461285,0.9991065742317694,0.5253192279865186,0.00020298355711712013,3.43491589823719e-05,6.051258681250005e-06
KNN_0.9,0.9999999999761154,0.9999997453093072,0.9999936950148558,0.99999999064313,1.0,1.0,1.0,0.06146809741090109,0.0004704044633732085,0.9999999999990531,0.99999999064313,0.9999961229789819,0.2739103755615715,0.7483137428908316,0.663010637639488,0.19471095503124325,0.0003567612786928853,0.05869448715022996,0.016724195704896694,0.08413893579568676,0.5484726575144252,0.869899681402973,0.9865372407850834,0.291859924406042,4.001986978696692e-05,6.051258681250005e-06,9.648672312234652e-07
KNN_0.95,1.0,0.999999999936766,0.99999999064313,0.9999999999997136,0.9999999999970661,1.0,1.0,0.020703692442283206,9.83113594770213e-05,0.9999999808749866,0.9999936950148558,0.9996535952852489,0.12291942427113767,0.5022698667685026,0.4125552273299853,0.0805295574661149,7.311307301915981e-05,0.019636317066507036,0.004775370774816934,0.029743419842025554,0.3104788790573483,0.663010637639488,0.9193065639939728,0.13320310554441506,7.115489079279058e-06,9.648672312234652e-07,1.3955102784457551e-07
LogisticRegression_0.8,0.004775370774816934,0.0010546011862696547,0.0004704044633732085,0.002013297646191514,0.15574185478632718,0.06146809741090109,0.020703692442283206,1.0,0.9999936950148558,0.3104788790573483,0.5253192279865186,0.7483137428908313,0.999999999999919,0.9999961229789819,0.9999995421559613,1.0,0.9999841665464783,1.0,1.0,1.0,0.9999999808749866,0.9999172910780151,0.9928634777975169,0.9999999999997136,0.9972771686258474,0.9665543009186828,0.8551719457209952
LogisticRegression_0.95,1.3491081828798102e-05,1.9026781515885105e-06,6.837815877958064e-07,4.365718277221653e-06,0.002013297646191514,0.0004704044633732085,9.83113594770213e-05,0.9999936950148558,1.0,0.00680893054584486,0.020703692442283206,0.056027818000501384,0.9955133739196321,0.839510885820345,0.8965041145281663,0.998801413841209,1.0,0.9999950447998242,0.9999999979583425,0.9999697302534335,0.9466558964371673,0.7067315521041703,0.3700771551837786,0.994317242181471,0.9999999999999949,0.9999999979583425,0.9999976591151117
NaiveBayes_0.85,0.9999755156985765,0.9984086367891628,0.9928634777975169,0.9996535952852489,1.0,0.9999999999990531,0.9999999808749866,0.3104788790573483,0.00680893054584486,1.0,1.0,0.9999999999997136,0.7278263805297707,0.9836193833209935,0.9665543009186827,0.6177674662755619,0.005380458602599614,0.3010871468455585,0.122919424271137,0.38050975116808583,0.9293120974043294,0.9964888555450232,0.9999755156985765,0.7483137428908313,0.0008088072921085265,0.00015228906988340452,2.9456917358672285e-05
