pair,DecisionTree_0.8,DecisionTree_0.85,DecisionTree_0.9,DecisionTree_0.95,KNN_0.85,KNN_0.9,LogisticRegression_0.8,LogisticRegression_0.85,LogisticRegression_0.9,LogisticRegression_0.95,NaiveBayes_0.85,NaiveBayes_0.9,RandomForest_0.8,RandomForest_0.85,RandomForest_0.9,RandomForest_0.95,SVM_Linear_0.8,SVM_Linear_0.85,SVM_Linear_0.9,SVM_Linear_0.95,SVM_RBF_0.8,SVM_RBF_0.85,SVM_RBF_0.9,SVM_RBF_0.95,XGBoost_0.8,XGBoost_0.85,XGBoost_0.9,XGBoost_0.95
DecisionTree_0.8,1.0,1.0,1.0,0.9999999999987393,0.9999999389001324,0.9999880921839969,0.21464079630926458,0.0012846094618258475,0.0068521561052227176,9.282803296595254e-06,0.9999999999732249,0.9999999999999999,0.10568759398943461,0.00017575841624783983,0.08239260285036265,0.0008765578366093374,1.0834208423404768e-05,0.9799910479679249,0.9579677920805221,0.018159592275420078,0.9437599771373156,0.12395709683629097,0.8135171221587147,0.8606300970073302,9.008777723806816e-08,1.8974808416727384e-06,0.0002316903700098072,8.591203970453876e-09
DecisionTree_0.85,1.0,1.0,1.0,1.0,0.9999952036472679,0.9997442367860262,0.11917260547779263,0.00045551250744868543,0.0026925014999099606,2.6225552183234413e-06,0.9999999834827715,0.9999999999963336,0.05305276310637863,5.6321662378455706e-05,0.040150360082704006,0.0003044016244162506,3.0796716307124328e-06,0.9310346304974738,0.8812408342646506,0.007667110475790939,0.853315742450528,0.06350189079209434,0.6562198925070382,0.719566682878017,2.152662181842402e-08,5.04551419977517e-07,7.522337969978476e-05,1.9021829666954204e-09
DecisionTree_0.9,1.0,1.0,1.0,0.9999999999999976,0.999998919292826,0.9999106939252258,0.15015512528102926,0.0006763974256288607,0.0038495334108582524,4.23714112229856e-06,0.9999999981024933,0.999999999999874,0.06934715637575262,8.682919144953338e-05,0.05305276310637863,0.00045551250744868543,4.9643256949671866e-06,0.9546977518481676,0.9164179500827319,0.010676362166788578,0.8938609669764477,0.08239260285036265,0.719566682878017,0.7780348892833786,3.7025902455134485e-08,8.338270318652974e-07,0.0001154072620563884,3.3665387144665715e-09
DecisionTree_0.95,0.9999999999987393,1.0,0.9999999999999976,1.0,0.9988201021968122,0.9874862794494771,0.03157617150967407,5.6321662378455706e-05,0.0003985832141290002,2.151850836407121e-07,0.9999584170229454,0.9999996353179931,0.011897820412893112,5.811862644922172e-06,0.008570411315989568,3.627020784502388e-05,2.5555034788293796e-07,0.6989054091521372,0.601051007532658,0.0012846094618258475,0.556192750167132,0.014729992914010781,0.3327720356302427,0.39239432410723385,1.2953268457849276e-09,3.7025902455134485e-08,7.94740957255069e-06,9.927147992527807e-11
KNN_0.85,0.9999999389001324,0.9999952036472679,0.999998919292826,0.9988201021968122,1.0,1.0,0.8998343638068056,0.06350189079209478,0.1935473025917378,0.0014565476882310024,1.0,0.9999999999999637,0.7495173756581273,0.014729992914010781,0.6883913030327694,0.04840418855054052,0.0016500076461934965,0.99999995553142,0.9999993660106289,0.34237592028019703,0.999998192151476,0.7871898049922905,0.999846799948016,0.9999494096651054,3.1271641419139407e-05,0.0003985832141290002,0.018159592275420078,4.23714112229856e-06
KNN_0.9,0.9999880921839969,0.9997442367860262,0.9999106939252258,0.9874862794494771,1.0,1.0,0.9761418160792168,0.14460500489484673,0.3619973475287025,0.004862299590587926,0.9999999999999637,0.9999999991313787,0.9055841377933915,0.04015036008270423,0.8677233851535195,0.11453450317027047,0.005456684322472483,0.9999999999834295,0.9999999991313787,0.5561927501671318,0.9999999959822137,0.9263769098277792,0.9999976776204498,0.9999995179523379,0.00013288767987573724,0.0014565476882310024,0.04840418855054052,1.9947846161105787e-05
LogisticRegression_0.8,0.21464079630926458,0.11917260547779263,0.15015512528102926,0.03157617150967407,0.8998343638068056,0.9761418160792168,1.0,0.999892760137577,0.9999998469718421,0.8457823974506068,0.739683235226487,0.5225170424187688,1.0,0.9925162179968957,1.0,0.9996983435963792,0.86063009700733,0.9999816692005765,0.9999976776204498,0.9999999997473416,0.9999991702657799,1.0,0.9999999991313787,0.9999999917395151,0.2782771430699751,0.6562198925070386,0.9952081441722104,0.11004033981453631
LogisticRegression_0.85,0.0012846094618258475,0.00045551250744868543,0.0006763974256288607,5.6321662378455706e-05,0.06350189079209478,0.14460500489484673,0.999892760137577,1.0,1.0,0.9999999678322959,0.024657636321982923,0.008570411315989568,0.999998192151476,1.0,0.9999996353179931,1.0,0.9999999834827715,0.6121963798247347,0.7093000335516223,0.9999999999987393,0.7495173756581273,0.9999952036472679,0.91111146408022,0.8745940061771926,0.9966426957786323,0.9999923821756533,1.0,0.9579677920805219
LogisticRegression_0.9,0.0068521561052227176,0.0026925014999099606,0.0038495334108582524,0.0003985832141290002,0.1935473025917378,0.3619973475287025,0.9999998469718421,1.0,1.0,0.9999584170229454,0.0896382886522572,0.03650328119004376,0.9999999998355524,0.9999999996153306,0.999999999989859,0.9999999999999994,0.9999721945345705,0.8745940061771926,0.9263769098277792,1.0,0.9437599771373155,0.9999999991313787,0.9907561476392348,0.9833302798932958,0.9512430335099233,0.9988201021968122,0.9999999999322947,0.7871898049922905
LogisticRegression_0.95,9.282803296595254e-06,2.6225552183234413e-06,4.23714112229856e-06,2.151850836407121e-07,0.0014565476882310024,0.004862299590587926,0.8457823974506068,0.9999999678322959,0.9999584170229454,1.0,0.0003985832141290002,0.00010014432170990517,0.9512430335099233,0.9999999999999637,0.969307217747466,0.9999999959822137,1.0,0.06637044266200365,0.09739595892147324,0.9991127097278681,0.11453450317027047,0.9354819700292881,0.24512592740618144,0.20040996601060657,0.9999999998355524,1.0,0.999999999999589,0.999998919292826
NaiveBayes_0.85,0.9999999999732249,0.9999999834827715,0.9999999981024933,0.9999584170229454,1.0,0.9999999999999637,0.739683235226487,0.024657636321982923,0.0896382886522572,0.0003985832141290002,1.0,1.0,0.5337271892414435,0.004862299590587926,0.4670377893175528,0.018159592275420078,0.00045551250744868543,0.9999904571232284,0.9999386574546003,0.18032481764239428,0.9998716268007071,0.5786585667886428,0.9970307872460042,0.998644372246946,6.79888012744545e-06,0.00010014432170990517,0.006117751021239792,8.338270318652974e-07
NaiveBayes_0.9,0.9999999999999999,0.9999999999963336,0.999999999999874,0.9999996353179931,0.9999999999999637,0.9999999991313787,0.5225170424187688,0.008570411315989568,0.03650328119004376,0.00010014432170990517,1.0,1.0,0.3233114755273496,0.0014565476882310024,0.2697434760108667,0.006117751021239792,0.0001154072620563884,0.9995838887923874,0.9984461943730412,0.08239260285036254,0.9973797335965556,0.3619973475287025,0.9761418160792168,0.9862069037050042,1.3687287142571947e-06,2.31911648505001e-05,0.0018674644144126562,1.5223608729186822e-07
RandomForest_0.8,0.10568759398943461,0.05305276310637863,0.06934715637575262,0.011897820412893112,0.7495173756581273,0.9055841377933915,1.0,0.999998192151476,0.9999999998355524,0.9512430335099233,0.5337271892414435,0.3233114755273496,1.0,0.9993394238589077,1.0,0.9999923821756533,0.9579677920805219,0.9994322329271117,0.9998716268007071,0.9999999999999902,0.9999386574546003,1.0,0.9999995179523379,0.9999976776204498,0.4670377893175528,0.8380326116257703,0.9996452169393493,0.2220094036761977
RandomForest_0.85,0.00017575841624783983,5.6321662378455706e-05,8.682919144953338e-05,5.811862644922172e-06,0.014729992914010781,0.04015036008270423,0.9925162179968957,1.0,0.9999999996153306,0.9999999999999637,0.004862299590587926,0.0014565476882310024,0.9993394238589077,1.0,0.9997442367860262,1.0,0.9999999999999902,0.29582514459395215,0.3821400295075289,0.9999997945016409,0.42382161950801733,0.9988201021968122,0.6562198925070386,0.5898686127095347,0.9999721945345705,0.9999999991313787,1.0,0.9979729953077743
RandomForest_0.9,0.08239260285036265,0.040150360082704006,0.05305276310637863,0.008570411315989568,0.6883913030327694,0.8677233851535195,1.0,0.9999996353179931,0.999999999989859,0.969307217747466,0.4670377893175528,0.2697434760108667,1.0,0.9997442367860262,1.0,0.999998192151476,0.9740110103577787,0.998644372246946,0.9996452169393493,0.9999999999999999,0.9998177225828906,1.0,0.9999976776204498,0.9999904571232284,0.5337271892414435,0.8812408342646507,0.9998716268007071,0.2697434760108667
RandomForest_0.95,0.0008765578366093374,0.0003044016244162506,0.00045551250744868543,3.627020784502388e-05,0.04840418855054052,0.11453450317027047,0.9996983435963792,1.0,0.9999999999999994,0.9999999959822137,0.018159592275420078,0.006117751021239792,0.9999923821756533,1.0,0.999998192151476,1.0,0.9999999981024933,0.5449553980731549,0.6453164363427654,0.9999999999732249,0.6883913030327694,0.9999816692005765,0.8745940061771926,0.830069404693114,0.9984461943730412,0.999998192151476,1.0,0.9740110103577787
SVM_Linear_0.8,1.0834208423404768e-05,3.0796716307124328e-06,4.9643256949671866e-06,2.5555034788293796e-07,0.0016500076461934965,0.005456684322472483,0.86063009700733,0.9999999834827715,0.9999721945345705,1.0,0.00045551250744868543,0.0001154072620563884,0.9579677920805219,0.9999999999999902,0.9740110103577787,0.9999999981024933,1.0,0.07243487878948307,0.10568759398943461,0.9993394238589077,0.12395709683629086,0.9437599771373155,0.2613726749720363,0.21464079630926458,0.9999999996153306,1.0,0.999999999999874,0.999998192151476
SVM_Linear_0.85,0.9799910479679249,0.9310346304974738,0.9546977518481676,0.6989054091521372,0.99999995553142,0.9999999999834295,0.9999816692005765,0.6121963798247347,0.8745940061771926,0.06637044266200365,0.9999904571232284,0.9995838887923874,0.9994322329271117,0.29582514459395215,0.998644372246946,0.5449553980731549,0.07243487878948307,1.0,1.0,0.9610583228821171,1.0,0.9996983435963792,0.9999999999999994,1.0,0.0036290222043728892,0.025922420955605263,0.33277203563024327,0.0007219202366223199
SVM_Linear_0.9,0.9579677920805221,0.8812408342646506,0.9164179500827319,0.601051007532658,0.9999993660106289,0.9999999991313787,0.9999976776204498,0.7093000335516223,0.9263769098277792,0.09739595892147324,0.9999386574546003,0.9984461943730412,0.9998716268007071,0.3821400295075289,0.9996452169393493,0.6453164363427654,0.10568759398943461,1.0,1.0,0.9817214346632258,1.0,0.9999386574546003,1.0,1.0,0.006117751021239792,0.04015036008270423,0.42382161950801733,0.0012846094618258475
SVM_Linear_0.95,0.018159592275420078,0.007667110475790939,0.010676362166788578,0.0012846094618258475,0.34237592028019703,0.5561927501671318,0.9999999997473416,0.9999999999987393,1.0,0.9991127097278681,0.18032481764239428,0.08239260285036254,0.9999999999999902,0.9999997945016409,0.9999999999999999,0.9999999999732249,0.9993394238589077,0.9610583228821171,0.9817214346632258,1.0,0.9874862794494771,0.999999999999874,0.9989755474964067,0.9976927838116887,0.8533157424505283,0.9897554256880148,0.9999999389001324,0.601051007532658
SVM_RBF_0.8,0.9437599771373156,0.853315742450528,0.8938609669764477,0.556192750167132,0.999998192151476,0.9999999959822137,0.9999991702657799,0.7495173756581273,0.9437599771373155,0.11453450317027047,0.9998716268007071,0.9973797335965556,0.9999386574546003,0.42382161950801733,0.9998177225828906,0.6883913030327694,0.12395709683629086,1.0,1.0,0.9874862794494771,1.0,0.9999721945345705,1.0,1.0,0.007667110475790939,0.04840418855054052,0.4670377893175528,0.0016500076461934965
SVM_RBF_0.85,0.12395709683629097,0.06350189079209434,0.08239260285036265,0.014729992914010781,0.7871898049922905,0.9263769098277792,1.0,0.9999952036472679,0.9999999991313787,0.9354819700292881,0.5786585667886428,0.3619973475287025,1.0,0.9988201021968122,1.0,0.9999816692005765,0.9437599771373155,0.9996983435963792,0.9999386574546003,0.999999999999874,0.9999721945345705,1.0,0.9999998469718421,0.9999991702657799,0.42382161950801733,0.8049363778916715,0.9993394238589077,0.1935473025917378
SVM_RBF_0.9,0.8135171221587147,0.6562198925070382,0.719566682878017,0.3327720356302427,0.999846799948016,0.9999976776204498,0.9999999991313787,0.91111146408022,0.9907561476392348,0.24512592740618144,0.9970307872460042,0.9761418160792168,0.9999995179523379,0.6562198925070386,0.9999976776204498,0.8745940061771926,0.2613726749720363,0.9999999999999994,1.0,0.9989755474964067,1.0,0.9999998469718421,1.0,1.0,0.023448079434642666,0.11917260547779285,0.6989054091521374,0.005778479023417993
SVM_RBF_0.95,0.8606300970073302,0.719566682878017,0.7780348892833786,0.39239432410723385,0.9999494096651054,0.9999995179523379,0.9999999917395151,0.8745940061771926,0.9833302798932958,0.20040996601060657,0.998644372246946,0.9862069037050042,0.9999976776204498,0.5898686127095347,0.9999904571232284,0.830069404693114,0.21464079630926458,1.0,1.0,0.9976927838116887,1.0,0.9999991702657799,1.0,1.0,0.017240655247235614,0.09345173878716373,0.634338476752333,0.0040824692830259135
XGBoost_0.8,9.008777723806816e-08,2.152662181842402e-08,3.7025902455134485e-08,1.2953268457849276e-09,3.1271641419139407e-05,0.00013288767987573724,0.2782771430699751,0.9966426957786323,0.9512430335099233,0.9999999998355524,6.79888012744545e-06,1.3687287142571947e-06,0.4670377893175528,0.9999721945345705,0.5337271892414435,0.9984461943730412,0.9999999996153306,0.0036290222043728892,0.006117751021239792,0.8533157424505283,0.007667110475790939,0.42382161950801733,0.023448079434642666,0.017240655247235614,1.0,0.9999999999999976,0.9999386574546003,1.0
XGBoost_0.85,1.8974808416727384e-06,5.04551419977517e-07,8.338270318652974e-07,3.7025902455134485e-08,0.0003985832141290002,0.0014565476882310024,0.6562198925070386,0.9999923821756533,0.9988201021968122,1.0,0.00010014432170990517,2.31911648505001e-05,0.8380326116257703,0.9999999991313787,0.8812408342646507,0.999998192151476,1.0,0.025922420955605263,0.04015036008270423,0.9897554256880148,0.04840418855054052,0.8049363778916715,0.11917260547779285,0.09345173878716373,0.9999999999999976,1.0,0.9999999959822137,0.9999999981024933
