pair,avg_rank
DecisionTree_0.8,21.15
DecisionTree_0.85,22.05
DecisionTree_0.9,22.95
DecisionTree_0.95,23.15
KNN_0.95,18.1
LogisticRegression_0.8,7.1
LogisticRegression_0.95,9.85
NaiveBayes_0.8,20.3
NaiveBayes_0.85,19.2
NaiveBayes_0.95,17.1
RandomForest_0.8,12.0
RandomForest_0.85,11.3
RandomForest_0.9,9.0
RandomForest_0.95,12.2
SVM_Linear_0.8,7.9
SVM_Linear_0.85,15.3
SVM_Linear_0.9,10.4
SVM_Linear_0.95,9.4
SVM_RBF_0.8,1.4
SVM_RBF_0.85,3.75
SVM_RBF_0.9,3.65
SVM_RBF_0.95,5.15
XGBoost_0.85,5.6
XGBoost_0.9,12.0
