pair,avg_rank
DecisionTree_0.8,24.5
DecisionTree_0.85,25.7
DecisionTree_0.9,26.3
DecisionTree_0.95,25.2
KNN_0.85,21.0
KNN_0.9,22.1
KNN_0.95,23.2
LogisticRegression_0.8,9.2
LogisticRegression_0.95,5.0
NaiveBayes_0.85,20.0
NaiveBayes_0.9,19.0
NaiveBayes_0.95,18.0
RandomForest_0.8,11.1
RandomForest_0.85,13.3
RandomForest_0.9,12.9
RandomForest_0.95,10.6
SVM_Linear_0.8,4.8
SVM_Linear_0.85,9.15
SVM_Linear_0.9,7.9
SVM_Linear_0.95,9.55
SVM_RBF_0.8,12.4
SVM_RBF_0.85,14.0
SVM_RBF_0.9,15.5
SVM_RBF_0.95,11.2
XGBoost_0.8,3.3
XGBoost_0.9,2.1
XGBoost_0.95,1.0
