simple.classes,simple.attributes,simple.nominal,simple.samples,simple.dimensionality,simple.numeric_rate,simple.symbols_max,simple.class_prob_min,simple.class_prob_max,simple.class_prob_mean,statistical.skewness,statistical.skewness_prep,statistical.kurtosis,statistical.abs_cor,statistical.cancor_1,statistical.fract_1,inftheo.attribute_entropy,inftheo.normalized_attribute_entropy,inftheo.mutual_information,inftheo.equivalent_attributes,inftheo.noise_signal_ratio,modelbased.nodes,modelbased.nodes_per_attribute,modelbased.nodes_per_instance,modelbased.leaf_corrobation,modelbased.level_min,modelbased.branch_min,modelbased.branch_max,modelbased.attribute_min,modelbased.attribute_max,landmarking.naive_bayes,landmarking.stump_sd,landmarking.nn_1,f1,f1v,f2,f3,f4,l1,l2,l3,n2,n4,t1,t2,density,closeness,clsCoef,hubs,avgPath,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_w_interact.coef_min,ela_meta.lin_w_interact.coef_max,ela_disp.ratio_mean_02,ela_disp.dist_all_mean,ela_ic.h_max,ela_ic.eps_s,ela_ic.eps_ratio,ela_cm.mean_ofs_10,ela_lc.r_pearson_dist_centroid,ela_lc.r_pearson_nn,ela_lc.y_skewness,ela_lc.y_kurtosis,nbc.nn_nb.dist.ratio.mean,nbc.nn_nb.dist.ratio.sd,nbc.nb.fitness.ratio.mean,nbc.nb.fitness.ratio.sd,nbc.n_candidates,nbc.dist.ratio.coeff_var,fdc.r,fdc.p_value,fdc.dist.mean,gh.mean,gh.norm.mean,gh.norm.sd,ls.mean,ls.min,ls.ratio,sample.y_max,sample.y_mean
0.0,-0.053254146,0.0,0.4387907,0.30966118,0.0,-0.053746402,0.35890538,0.15853325,0.0,0.0,0.2054912,0.0,-0.12773639,-0.079839095,0.0,0.0,0.22506043,-0.049887188,0.14446476,0.043622717,0.16070962,-0.30086327,0.8584579,0.0,0.0,0.0,0.009086503,0.0,0.113180876,0.055258773,1.031149,0.0,-0.048759144,0.016579222,-0.09711909,-0.01787493,-0.18337883,0.024728166,-0.08289964,-0.32382438,0.047859695,-0.007594453,0.0,0.0,-0.028823538,0.006379824,0.01004274,-0.075873666,-0.027162427,-0.030113949,0.084849946,-0.14626285,0.016968608,0.038369432,0.20005919,0.0,0.14211307,0.0,0.0824673,-0.27851638,0.18931411,-0.24277577,-0.03233392,-0.03858506,-0.064800724,0.017740404,-0.15931728,-0.19863853,0.021588756,0.3849955,0.0,0.032673795,-0.04477231,0.48735538,0.5812225,0.094957635,-0.04484333,-0.0061646886,0.4165833,-0.017300434
0.0,0.091454424,0.0,0.3154266,0.3141098,0.0,0.062638745,0.3015291,0.16726491,0.0,0.0,0.2054912,0.0,-0.12303853,-0.047665752,0.0,0.0,0.31668675,0.039205566,0.15927589,0.105917215,-0.05366484,0.17394438,0.80322933,0.0,0.0,0.0,0.0044592978,0.0,-0.04539974,0.055258773,0.8400194,0.0,0.03041703,0.08273752,0.090903,-0.016066235,-0.18337883,0.024728166,0.048305314,-0.29004252,-0.045611314,-0.017659215,0.0,0.0,0.037798252,0.016376223,0.16920593,0.054597873,0.041532192,-0.030113949,-0.0070712883,-0.14626285,0.016968608,0.038369432,0.19870584,0.0,0.13474847,0.0,0.0824673,-0.26773065,0.17520148,-0.27365828,-0.020150308,-0.03858506,-0.05005274,0.017740404,-0.19551525,-0.17375663,0.037477802,0.46186674,0.0,-0.09938996,-0.015653022,0.4222807,0.5679896,0.0597733,0.04452329,-0.0061646886,0.46322268,-0.012050649
0.0,-0.02590413,0.0,-0.34524643,0.01002894,0.0,0.060359623,-0.45190257,0.033053562,0.0,0.0,0.15439054,0.0,0.015061738,-0.021619026,0.0,0.0,0.18558641,0.074996755,0.0546638,0.107424684,0.0899333,-0.6057171,-0.6991175,0.0,0.0,0.0,-0.0048830016,0.0,0.060395177,0.07139615,-0.89238834,0.0,-0.050467785,0.042645305,0.112275064,-0.027126465,-0.12673499,0.032836147,-0.079230934,0.1409088,0.021928031,-0.010371937,0.0,0.0,-0.014170495,0.0060259434,-0.12003163,-0.06411599,-0.026336035,-0.030113949,-0.48595944,0.15000762,0.0047140345,0.014752143,0.2379667,0.0,-0.11127328,0.0,0.028151728,-0.07522675,-0.3215511,-0.668625,-0.043515738,-0.03949699,-0.13709424,0.01374558,0.4365849,-0.36113086,0.027089914,-0.6627816,0.0,-0.033901077,0.009196964,-0.26344103,-1.0222294,-0.12318887,-0.04484333,-0.042395208,0.088362955,-0.043540612
0.0,0.091454424,0.0,0.34987265,-0.046934247,0.0,0.062638745,0.44181052,0.19445635,0.0,0.0,0.24854143,0.0,0.10970697,-0.014809893,0.0,0.0,0.20616364,0.045918234,0.102788195,0.06816522,0.16982141,-0.258902,-0.58403563,0.0,0.0,0.0,-0.011677239,0.0,0.113180876,0.063985504,0.944512,0.0,0.028192818,-0.02593515,0.11974156,-0.0061513875,0.058324948,0.099315554,0.10005361,0.13993464,-0.045611314,-0.007594453,0.0,0.0,0.14584307,0.015077618,0.13085029,-0.003294818,-0.027162427,0.020836022,0.31505495,0.15000762,0.016968608,0.038369432,-0.09560719,0.0,0.23322728,0.0,0.16217098,-0.3361238,0.15465863,0.101177014,-0.030444484,-0.03949699,-0.05275003,0.02483925,-0.18367726,-0.22030964,0.042978957,-0.4388158,0.0,0.032673795,-0.015653022,0.38874483,0.6920418,0.09914456,0.04452329,-0.0061646886,0.47508222,-0.017300434
0.0,0.05551423,0.0,0.0682339,-0.021832682,0.0,0.057831164,0.3486776,0.19024518,0.0,0.0,0.23880063,0.0,0.17020176,-0.06158543,0.0,0.0,0.19600286,0.11424388,0.102788195,0.05685962,0.14361599,-0.26942936,-0.51563257,0.0,0.0,0.0,-0.011677239,0.0,0.07754586,0.11883752,1.436418,0.0,0.028192818,0.0642654,0.16451079,0.035429418,-0.13993675,0.10444656,0.09592345,0.18873526,-0.045611314,-0.004884422,0.0,0.0,0.026896134,0.05786886,0.124896675,-0.008624791,-0.027162427,0.020836022,0.29253513,0.15000762,0.04214276,0.038369432,-0.16494076,0.0,0.32519642,0.0,0.16217098,-0.2635412,-0.09518401,1.1157018,0.14701562,-0.030629203,-0.056220643,0.03833711,-0.15393418,0.22306281,0.07837634,-0.04007692,0.0,-0.07827052,0.011464402,0.16840489,0.18217525,0.14391993,0.0163839,-0.002982734,0.35491306,-0.010030036
0.0,0.013858526,0.0,-0.071504235,-0.34402668,0.0,0.057967182,0.1863491,-0.032778885,0.0,0.0,0.16521378,0.0,0.5526331,-0.06317408,0.0,0.0,0.24844277,0.27708268,0.11184305,0.10255995,0.14182386,0.12765148,-0.03399384,0.0,0.0,0.0,-0.0048830016,0.0,-0.024731858,0.04848124,-0.6614286,0.0,-0.026223958,-0.08459516,0.13567221,-0.0129322875,0.25079796,0.0028981846,-0.020042755,-0.13991216,0.04631973,-0.005956213,0.0,0.0,-0.033220902,-0.012456273,-0.027990164,-0.03377616,-0.051655672,0.020836022,0.2461235,0.15000762,0.0152083635,0.038369432,0.20078783,0.0,0.33495635,0.0,0.14419173,0.4952469,-0.1599678,1.5707746,-0.014083447,-0.030629203,-0.086205296,0.02483925,-0.2120179,-0.1690967,-0.022733752,-0.08944148,0.0,-0.035772394,0.0053590704,-0.16916874,-0.27157593,-0.32351208,-0.01650167,-0.012577478,0.1387381,-0.016610906
0.0,0.05551423,0.0,0.24261034,0.12521227,0.0,0.057831164,0.30608696,0.195412,0.0,0.0,0.28385833,0.0,0.17672959,0.00907312,0.0,0.0,0.2656821,0.1325287,0.09291781,0.05685962,0.18469971,-0.17943928,0.68515396,0.0,0.0,0.0,-0.011677239,0.0,-0.020474184,-0.07310984,1.2336115,0.0,0.036039032,-0.06159386,0.14111362,-0.019775428,0.002719134,0.045728642,0.09742166,0.13993464,-0.022403188,-0.0040003294,0.0,0.0,0.009395145,0.007495982,0.11230865,0.0098664705,-0.013496511,0.020836022,0.17548151,0.15000762,0.04214276,0.038369432,-0.08859848,0.0,0.37731615,0.0,0.13293904,-0.12878613,-0.15481672,1.1536461,0.13641712,-0.026223427,-0.060865,0.010546386,0.25810617,0.11862896,-0.05297276,-0.4006666,0.0,0.034938894,0.011464402,-0.1575267,-0.59941554,-0.17908652,-0.01650167,-0.0039591435,0.35039067,-0.009433178
0.0,-0.0016818773,0.0,-0.257298,-0.37412637,0.0,0.025994603,0.21491072,0.012574868,0.0,0.0,0.2129652,0.0,0.4187663,0.009219654,0.0,0.0,0.19249454,-0.4513029,-0.123760805,-0.14710513,-0.18210264,0.094783,-0.54359,0.0,0.0,0.0,0.003799649,0.0,-0.019520594,0.032892145,-0.87008584,0.0,-0.009312481,-0.09666623,0.06703071,-0.020786356,-0.019104818,-0.13639899,-0.029100794,0.12052642,0.02032709,-0.005956213,0.0,0.0,-0.033220902,-0.007666567,-0.01816961,-0.04159872,-0.042512685,0.020836022,-0.433315,0.15000762,0.0152083635,-0.034819923,-0.26160645,0.0,-0.22344592,0.0,0.037355088,0.44083408,-0.23255198,1.167153,-0.04571051,0.022307917,-0.081326835,0.010546386,-0.2857452,-0.15566316,-0.053835757,-0.42757228,0.0,-0.029402334,0.0053590704,-0.18862174,-0.84039813,-0.38415107,-0.01650167,-0.0063699386,0.13695925,-0.0265838
0.0,-0.07146244,0.0,-0.27065796,-0.1293322,0.0,0.025994603,0.31150338,-0.015231106,0.0,0.0,0.17297149,0.0,0.4116115,-0.0045809783,0.0,0.0,0.29524133,-0.07898525,0.11184305,-0.14877468,0.11950547,-0.5467703,-0.65589195,0.0,0.0,0.0,-0.0048830016,0.0,-0.05132007,0.06628335,-0.9628228,0.0,0.011748772,-0.02952402,0.09042786,-0.067633666,-0.18601434,-0.13843048,-0.12534261,-0.12762225,0.04471879,-0.010371937,0.0,0.0,0.14584307,0.015077618,0.078355,-0.054405674,-0.09017888,0.020836022,-0.46306416,0.15000762,0.0047140345,0.038369432,-0.2929039,0.0,-0.24909665,0.0,0.052053783,-0.11410958,-0.24539213,-0.59090275,-0.043515738,-0.03949699,-0.1654973,0.017740404,-0.2820656,-0.20867941,0.0067094173,-0.6244377,0.0,-0.035783768,0.0053590704,-0.28553626,-0.42974404,-0.06328061,-0.04484333,-0.012588564,0.13713586,-0.043540612
0.0,-0.0016818773,0.0,-0.14492604,-0.32287133,0.0,0.056942377,0.32637644,0.03727247,0.0,0.0,0.15020637,0.0,0.2598125,-0.063065335,0.0,0.0,0.29221326,0.32996187,0.102788195,0.05685962,-0.14755024,0.0026748031,-0.4519566,0.0,0.0,0.0,0.009086503,0.0,-0.024731858,0.032892145,1.1049098,0.0,-0.0010084817,-0.1358007,0.14111362,-0.01525995,0.11111152,0.030939762,0.045677155,0.17135328,-0.011673653,-0.005956213,0.0,0.0,0.035992913,-0.014665447,0.04534012,-0.007261361,-0.018543469,0.020836022,0.21673197,0.15000762,0.0343177,-0.034819923,0.21300623,0.0,-0.15281749,0.0,0.037355088,0.54168904,-0.15326712,1.5149451,0.06402972,0.022307917,-0.055301316,0.010546386,-0.13621385,-0.12811697,-0.053835757,-0.35579234,0.0,0.0030338066,0.0053590704,-0.15988109,-0.582166,-0.08154896,-0.01650167,-0.0063699386,0.3970425,-0.016610906
